OPERATING AGREEMENT	ОПЕРАЦИОННОЕ СОГЛАШЕНИЕ
(B) Subject to Article 4.11, Operator may be removed by the decision of the Non-Operators if Operator has committed a material breach of this Agreement and has either failed to commence to cure that breach within thirty (30) Days of receipt of a notice from Non-Operators detailing the alleged breach or failed to diligently pursue the cure to completion.	(B) С учетом положений статьи 4.11, Оператор может быть освобожден от своих обязанностей на основании решения соответствующих СНО, если Оператор допустит существенное нарушение настоящего Соглашения и либо не начнет исправлять это нарушение в течение 30 (тридцати) Дней с момента получения от СНО уведомления с подробным описанием вменяемого ему нарушения, либо не сможет надлежащим образом завершить такое исправление.
Any decision of Non-Operators to give notice of breach to Operator or to remove Operator under this Article 4.10(B) shall be made by an affirmative vote of ( ) or more of the total number of Non-Operators holding a combined Participating Interest of at least percent ( %).	Любое решение соответствующих СНО направить Оператору уведомление о нарушении или отстранить Оператора в соответствии с настоящей статьей 4.10(B) принимается большинством в __(__) голосов или более от общего числа СНО, обладающих совокупной Долей Участия не менее __ процентов (__%).
However, if Operator disputes such alleged commission of or failure to cure a material breach and dispute resolution proceedings are initiated pursuant to Article 18.2 in relation to such breach, then Operator shall remain appointed and no successor Operator may be appointed pending the conclusion or abandonment of such proceedings, subject to the terms of Article 8.3 with respect to Operator's breach of its payment obligations.	Однако если Оператор оспаривает приписываемое ему существенное нарушение или неисправление существенного нарушения, и процедура рассмотрения спора в связи с таким нарушением начата в соответствии со статьей 18.2, то Оператор продолжает исполнять свои обязанности, и назначение правопреемника Оператора не допускается до вынесения окончательного решения по результатам такого разбирательства или до прекращения такого разбирательства, с учетом положений статьи 8.3, касающихся нарушения Оператором его платежных обязательств.
(С) If Operator together with any Affiliates of Operator is or becomes the holder of a Participating Interest of less than percent ( %), then Operator shall be required to promptly notify the other Parties.	(C) Если Доля Участия Оператора вместе с любыми Аффилированными Лицами Оператора является или становится менее __процентов (__%), то Оператор обязан немедленно уведомить об этом другие Стороны.
The Operating Committee shall then vote within ( ) Days of such notification on whether or not a successor Operator should be named pursuant to Article 4.11.	Затем в течение __(__) Дней после такого уведомления Руководящий Комитет проводит голосование по вопросу о целесообразности назначения правопреемника Оператора в соответствии со статьей 4.11.
Check Paragraph (D), if desired.	По желанию включите пункт (D).
(D) If there is a direct or indirect change in Control of Operator (other than a transfer of Control to an Affiliate of Operator), Operator shall be required to promptly notify the other Parties.	(D) В случае прямого или косвенного изменения Контроля над Оператором (кроме передачи Контроля Аффилированному Лицу Оператора) Оператор обязан немедленно уведомить об этом другие стороны.
The Operating Committee shall vote within ( ) Days of such notification on whether or not a successor Operator should be named pursuant to Article 4.11.	Затем в течение __(__) Дней после такого уведомления Руководящий Комитет проводит голосование по вопросу о целесообразности назначения правопреемника Оператора в соответствии со статьей 4.11.
(E) Subject to Article 4.11, Operator may be removed at any time without cause by the affirmative vote of ( ) or more of the total number of Non- Operators holding a combined Participating Interest of at least percent ( %).	(E) С учетом положений статьи 4.11, Оператор может быть освобожден от своих обязанностей в любое время без объяснения причины положительным голосованием __(__) или большего количества от общего числа СНО, являющихся держателями совокупной Доли Участия в размере не менее __ процентов (__%)•
4.11 Appointment of Successor	4.11 Назначение правопреемника
When a change of Operator occurs pursuant to Article 4.9 or Article 4.10:	В случае смены Оператора в соответствии со статьей 4.9 или статьей 4.10:
(A) The Operating Committee shall meet as soon as possible to appoint a successor Operator pursuant to the voting procedure of Article 5.9.	(A) Руководящий Комитет по возможности в кратчайшие сроки проводит заседание с целью назначения правопреемника Оператора в соответствии с процедурой голосования, установленной в статье 5.9.
No Party may be appointed successor Operator against its will.	Ни одна из Сторон не может быть назначена правопреемником Оператора против своей воли.
(B) If Operator is removed, [other than in the case of Article 4.10(C) or Article 4.10(D)], neither Operator nor any Affiliate of Operator shall have the right to be considered as a candidate for the successor Operator.	(B) В случае отстранения Оператора [(за исключением случаев, предусмотренных в статьях 4.10(C) или 4.10(D))] ни сам Оператор, ни какое-либо Аффилированное Лицо Оператора не может включаться в перечень кандидатов в правопреемники Оператора.
(С) The resigning or removed Operator shall be compensated out of the Joint Account for its reasonable expenses directly related to its resignation or removal, except in the case of Article 4.10(B).	(C) За исключением случая, указанного в статье 4.10(B), обоснованные расходы добровольно прекратившего свои обязанности или отстраненного Оператора, напрямую связанные с прекращением его полномочий, компенсируются Оператору через Совместный Счет Бухгалтерского Учета.
(D) The resigning or removed Operator and the successor Operator shall arrange for the taking of an inventory of all Joint Property and Hydrocarbons, and an audit of the books and records of the removed Operator.	(D) Отстраненный или добровольно прекративший свои обязанности Оператор и правопреемник Оператора организуют инвентаризацию всей Совместной Собственности и Углеводородов, а также аудиторскую проверку бухгалтерских книг и записей отстраненного Оператора.
Such inventory and audit shall be completed, if possible, no later than the effective date of the change of Operator and shall be subject to the approval of the Operating Committee.	Такая инвентаризация и аудиторская проверка по возможности завершаются не позднее даты официальной смены Оператора, и их результаты утверждаются Руководящим Комитетом.
The liabilities and expenses of such inventory and audit shall be charged to the Joint Account.	Ответственность и расходы по такой инвентаризации и аудиторской проверке относятся на Совместный Счет Бухгалтерского Учета.
(E) The resignation or removal of Operator and its replacement by the successor Operator shall not become effective prior to receipt of any necessary Government approvals.	(E) Отстранение или добровольное прекращение обязанностей Оператора и его замена правопреемником Оператора вступают в силу только после получения всех необходимых разрешений Государства.
(F) Upon the effective date of the resignation or removal, the successor Operator shall succeed to all duties, rights and authority prescribed for Operator.	(F) С даты вступления в силу добровольного прекращения полномочий или отстранения правопреемник Оператора принимает на себя все обязанности, права и полномочия Оператора.
The former Operator shall transfer to the successor Operator custody of all Joint Property, books of account, records and other documents maintained by Operator pertaining to the Contract Area and to Joint Operations.	Бывший Оператор передает под контроль своего правопреемника всю Совместную Собственность, счета, учетные записи и другие документы, которые Оператор ведет в отношении Контрактной Территории и Совместных Операций.
Upon delivery of the above-described property and data, the former Operator shall be released and discharged from all obligations and liabilities as Operator accruing after such date.	После передачи вышеописанного имущества и данных бывший Оператор освобождается от всех возникающих после этой даты обязательств и ответственности Оператора.
4.12 Health, Safety and Environment ("HSE")	4.12 Охрана Труда и Защита Окружающей Среды (ОТиЗОС)
(A) With the goal of achieving safe and reliable operations in compliance with applicable HSE laws, rules and regulations (including avoiding significant and unintended impact on the safety or health of people, on property, or on the environment), Operator shall in the conduct of Joint Operations:	(A) В целях обеспечения безопасной и надежной работы в соответствии с применимыми законами, правилами и подзаконными актами по ОТиЗОС (включая предотвращение существенного и непреднамеренного пагубного воздействия на безопасность или здоровье людей, сохранность имущества или окружающую среду), Оператор при осуществлении Совместных Операций должен: :
(1) establish and implement an HSE plan in a manner consistent with standards and procedures generally followed in the international petroleum industry under similar circumstances;	(1) утвердить план мероприятий по ОТиЗОС и осуществлять его методами, соответствующими стандартам и правилам, общепринятым в международной нефтяной отрасли при схожих обстоятельствах;
(2) design and operate Joint Property consistent with the HSE plan; and	(2) планировать и осуществлять эксплуатацию Совместной Собственности в соответствии с Планом мероприятий по ОТиЗОС; и
(3) conform with locally applicable HSE laws, rules and regulations and other HSE-related statutory requirements that may apply.	(3) соблюдать действующие законы, правила и постановления по ОТиЗОС и другие применимые законодательные требования по ОТиЗОС.
(B) The Operating Committee shall:	(B) Руководящий Комитет:
from time to time review details of Operator's HSE plan and Operator's implementation thereof.	время от времени подробно изучает план ОТиЗОС Оператора и его исполнение Оператором.
be provided by Operator, on an annual basis, with an HSE letter of assurance providing adequate evidence that an HSE plan is in place and that any major HSE issues have been brought to the attention of the Operating Committee and are being properly managed.	ежегодно получает от Оператора письмо-заверение в отношении ОТиЗОС с достаточным подтверждением того, что план мероприятий по ОТиЗОС действует, и что любые крупные вопросы, касающиеся ОТиЗОС, доводятся до сведения Руководящего Комитета и надлежащим образом решаются.
(С) In the conduct of Joint Operations, Operator shall:	(C) При проведении Совместных Операций Оператор обязан:
establish and implement a program for regular HSE assessments.	утвердить и осуществлять программу регулярной оценки эффективности ОТиЗОС.
The purpose of such assessments is to periodically review HSE systems and procedures, including actual practice and performance, to verify that the HSE plan is being implemented in accordance with the policies and standards of the HSE plan.	Целью таких оценок является периодическая проверка систем и процедур по ОТиЗОС, включая рассмотрение практических мероприятий и их эффективности, для подтверждения того, что план мероприятий по ОТиЗОС осуществляется в соответствии с политиками и стандартами, предусмотренными в этом плане.
Operator shall, at a minimum, conduct such an assessment before entering into significant new Joint Operations and before undertaking any major changes to existing Joint Operations.	В качестве минимальной меры Оператор должен проводить такую оценку перед началом каких-либо новых крупных действий в рамках Совместных Операций и до внесения каких-либо существенных изменений в существующие действия в рамках Совместных Операций.
Upon reasonable notice given to Operator, Non-Operators shall have the right to participate in such HSE assessments.	Направив Оператору заблаговременное уведомление, СНО имеют право участвовать в таких оценках эффективности ОТиЗОС.
establish an annual audit program whereby independent auditors review and verify the effectiveness of the HSE plan.	утвердить программу ежегодных проверок, в рамках которой независимые инспекторы будут изучать и проверять эффективность плана мероприятий по ОТиЗОС.
(D) Operator shall require its contractors, consultants and agents undertaking activities for the Joint Account to manage HSE risks in a manner consistent with the requirements of this Article 4.12.	(D) Оператор должен требовать от своих подрядчиков, консультантов и агентов, осуществляющих работу, связанную с Совместными Операциями, управлять рисками по ОТиЗОС в соответствии с требованиями настоящей статьи 4.12.
(E) Operator shall establish and enforce rules consistent with those generally followed in the international petroleum industry under similar circumstances that, at a minimum, prohibit within the Contract Area the following:	(E) Оператор должен утвердить и обеспечивать исполнение правил, соответствующих общепринятым в международной нефтяной отрасли в схожих обстоятельствах, которые, как минимум, запрещают на Контрактной Территории следующее:
(1) possession, use, distribution or sale of firearms, explosives, or other weapons without the prior written approval of senior management of Operator;	(1) владение, использование, распространение или продажу огнестрельного оружия, взрывчатых веществ или иного вооружения без предварительного письменного разрешения высшего руководства Оператора;
(2) possession, use, distribution or sale of alcoholic beverages without the prior written approval of senior management of Operator; and	(2) владение, использование, распространение или продажу алкогольных напитков без предварительного письменного разрешения высшего руководства Оператора; и
(3) possession, use, distribution or sale of illicit or non-prescribed controlled substances and the misuse of prescribed drags.	(3) владение, использование, распространение или продажу нелегальных или неразрешенных веществ, ограниченных в обороте, и ненадлежащее использование разрешенных медикаментов.
Check if desired.	По желанию включите пункт (F).
(F) Without prejudice to a Party's rights under Article 4.2(B)(7), with reasonable advance notice, Operator shall permit each Non-Operator to have at all reasonable times during normal business hours (and at its own risk and expense) the right to conduct its own HSE audit.	(F) Без ограничения прав любой из Сторон в соответствии со статьей 4.2(B)(7), по получении заблаговременного уведомления Оператор в любое разумное время в течение стандартного рабочего дня предоставляет каждой СНО право проводить (за свой собственный счет) свою собственную проверку ОТиЗОС.
ARTICLE 5 OPERATING COMMITTEE	СТАТЬЯ 5 РУКОВОДЯЩИЙ КОМИТЕТ
5.1 Establishment of Operating Committee	5.1 Создание Руководящего Комитета
To provide for the overall supervision and direction of Joint Operations, there is established an Operating Committee composed of representatives of each Party holding a Participating Interest.	Для осуществления общего руководства и управления Совместными Операциями создается Руководящий Комитет, состоящий из представителей каждой Стороны, имеющей Доли Участия.
Each Party shall appoint one (1) representative and one (1) alternate representative to serve on the Operating Committee.	Для работы в Руководящем Комитете каждая Сторона назначает по 1 (одному) представителю и 1 (одному) заместителю представителя.
Each Party shall as soon as possible after the date of this Agreement give notice in writing to the other Parties of the name and address of its representative and alternate representative to serve on the Operating Committee.	Каждая из Сторон по возможности в кратчайшие сроки после даты подписания настоящего Соглашения направляет другим Сторонам письменное уведомление с именами и адресами своего представителя и его заместителя в Руководящем Комитете.
Each Party shall have the right to change its representative and alternate at any time by giving notice of such change to the other Parties.	Каждая Сторона имеет право в любое время заменить своего представителя и его заместителя, направив другим Сторонам уведомление о такой замене.
5.2 Powers and Duties of Operating Committee	5.2 Полномочия и обязанности Руководящего Комитета
The Operating Committee shall have power and duty to authorize and supervise Joint Operations that are necessary or desirable to fulfill the Contract and properly explore and exploit the Contract Area in accordance with this Agreement and in a manner appropriate in the circumstances.	Руководящий Комитет имеет полномочия и исполняет обязанности по утверждению и контролю над Совместными Операциями, необходимыми или целесообразными для исполнения условий Контракта и надлежащего изучения и освоения Контрактной Территории в соответствии с настоящим Соглашением и сообразным обстоятельствам способом.
5.3 Authority to Vote	5.3 Право голоса
The representative of a Party, or in his absence his alternate representative, shall be authorized to represent and bind such Party with respect to any matter which is within the powers of the Operating Committee and is properly brought before the Operating Committee.	Представитель любой из Сторон, а в его отсутствие - заместитель такого представителя, имеет право представлять интересы такой Стороны и принимать от ее имени обязательства по любым вопросам, входящим в компетенцию Руководящего Комитета и надлежащим образом вынесенным на рассмотрение Руководящим Комитетом.
Each such representative shall have a vote equal to the Participating Interest of the Party such person represents.	Каждый такой представитель имеет количество голосов, равное Доле Участия той Стороны, интересы которой он представляет.
Each alternate representative shall be entitled to attend all Operating Committee meetings but shall have no vote at such meetings except in the absence of the representative for whom he is the alternate.	Каждый заместитель представителя имеет право посещать все заседания Руководящего Комитета, но не имеет права голоса на таких заседаниях, кроме случаев отсутствия того представителя, заместителем которого он является.
In addition to the representative and alternate representative, each Party may also bring to any Operating Committee meetings such technical and other advisors as it may deem appropriate.	Кроме представителя и его заместителя каждая Сторона может также приглашать на заседания Руководящего Комитета таких технических и иных консультантов, присутствие которых она сочтет целесообразным.
5.4 Subcommittees	5.4 Подкомитеты
The Operating Committee may establish such subcommittees, including technical subcommittees, as the Operating Committee may deem appropriate.	Руководящий Комитет может создавать такие подкомитеты, в том числе технические подкомитеты, которые Руководящий Комитет сочтет целесообразными.
The functions of such subcommittees shall be in an advisory capacity or as otherwise determined unanimously by the Parties.	Такие подкомитеты выполняют совещательные функции или иные функции, единогласно определенные Сторонами.
Each Party shall have the right to appoint a representative to each subcommittee.	Каждая Сторона вправе назначить представителя в каждый подкомитет.
5.5 Notice of Meeting	5.5 Уведомление о заседании
(A) Operator may call a meeting of the Operating Committee by giving notice to the Parties at least fifteen (15) Days in advance of such meeting.	(A) Оператор может созвать заседание Руководящего Комитета, направив уведомление Сторонам по меньшей мере за 15 (пятнадцать) Дней до такого заседания.
(B) Any Non-Operator may request a meeting of the Operating Committee by giving notice to all the other Parties.	(B) Любая СНО может потребовать провести заседание Руководящего Комитета, направив уведомление всем остальным Сторонам.
Upon receiving such request, Operator shall call such meeting for a date not less than fifteen (15) Days nor more than twenty (20) Days after receipt of the request.	Получив соответствующее уведомление, Оператор созывает заседание, назначив его на дату, наступающую не менее, чем через 15 (пятнадцать) Дней и не более, чем через 20 (двадцать) Дней после получения этого требования.
(C) The notice periods above may only be waived with the unanimous consent of all the Parties.	(C) Требование о соблюдении вышеуказанных сроков уведомления может быть отклонено только с единогласного согласия всех Сторон
5.6 Contents of Meeting Notice	5.6 Содержание уведомления о заседании
(A) Each notice of a meeting of the Operating Committee as provided by Operator shall contain:	(А) Каждое уведомление о заседании Руководящего Комитета, направляемое Оператором, должно содержать:
(1) the date, time and location of the meeting;	(1) дату, время и место проведения заседания;
(2) an agenda of the matters and proposals to be considered and/or voted upon; and	(2) повестку дня заседания и предложения, выносимые на рассмотрение и/или голосование на таком заседании; и
(3) copies of all proposals to be considered at the meeting (including all appropriate supporting information not previously distributed to the Parties).	(3) копии всех предложений, вынесенных на рассмотрение на таком заседании (включая всю соответствующую вспомогательную информацию, ранее не распространявшуюся среди Сторон).
(B) A Party, by notice to the other Parties given not less than seven (7) Days prior to a meeting, may add additional matters to the agenda for a meeting.	(B) Любая из Сторон, направив уведомление другим Сторонам не менее, чем за 7 (семь) Дней до заседания, может включить дополнительные вопросы в повестку дня заседания.
(C) On the request of a Party, and with the unanimous consent of all Parties, the Operating Committee may consider at a meeting a proposal not contained in such meeting agenda.	(C) По требованию любой из Сторон и с единогласного согласия всех Сторон Руководящий Комитет может рассматривать на заседании любые предложения, не включенные в повестку дня такого заседания.
5.7 Location of Meetings	5.7 Место проведения заседаний
All meetings of the Operating Committee shall be held in , or elsewhere as the Operating Committee may decide.	Все заседания Руководящего Комитета проводятся в __или в любом другом месте, определенном Руководящим Комитетом.
5.8 Operator's Duties for Meetings	5.8 Обязанности Оператора в связи с заседаниями Руководящего Комитета
(A) With respect to meetings of the Operating Committee and any subcommittee, Operator's duties shall include:	(A) Обязанности Оператора в отношении заседаний Руководящего Комитета и любых его подкомитетов включают в себя следующее:
(1) timely preparation and distribution of the agenda;	(1) своевременную подготовку и рассылку повестки дня;
(2) organization and conduct of the meeting; and	(2) организацию и проведение заседания; и
(3) preparation of a written record or minutes of each meeting.	(3) подготовку письменного отчета или протокола каждого заседания.
(B) Operator shall have the right to appoint the chairman of the Operating Committee and all subcommittees.	(B) Оператор имеет право назначить председателя Руководящего Комитета и всех подкомитетов.
5.9 Voting Procedure	5.9 Процедура голосования
Except as otherwise expressly provided in this Agreement, all decisions, approvals and other actions of the Operating Committee on all proposals coming before it shall be decided by the affirmative vote of ( ) or more Parties which are not Affiliates then having collectively at least percent ( %) of the Participating Interests.	Если иное прямо не предусмотрено в настоящем Соглашении, все решения, одобрения и иные действия Руководящего Комитета в отношении всех предложений, вынесенных на рассмотрение его заседания, утверждаются положительным голосованием __ (__) или большего количества Сторон, не являющихся Аффилированными Лицами, на тот момент в совокупности владеющих не менее чем__процентами (__%) от общей Доли Участия
ALTERNATIVE NO 2 (From Paragraph (A) to (Q)	ВАРИАНТ №2 (с пункта (А) по пункт (Q)
Except as otherwise expressly provided in this Agreement, decisions, approvals and other actions of the Operating Committee on all proposals coming before it shall be decided as follows.	Если иное прямо не предусмотрено в настоящем Соглашении, все решения, одобрения и иные действия Руководящего Комитета в отношении всех предложений, вынесенных на рассмотрение его заседания, утверждаются следующим образом:
(A) All decisions, approvals and other actions for which column (A) below is checked shall require the affirmative vote of ( ) or more Parties which are not Affiliates then having collectively at least percent ( %) of the Participating Interests.	(A) Все решения, одобрения и иные действия, отмеченные в колонке (А) ниже, утверждаются положительным голосованием __ (__) или большего количества Сторон, не являющихся Аффилированными Лицами, на тот момент в совокупности владеющих не менее чем__процентами (__%) от общей Доли Участия.
(B) All decisions, approvals and other actions for which column (B) below is checked shall require the affirmative vote of ( ) or more Parties which are not Affiliates then having collectively at least percent ( %) of the Participating Interests.	(B) Все решения, одобрения и иные действия, отмеченные в колонке (В) ниже, утверждаются положительным голосованием __ (__) или большего количества Сторон, не являющихся Аффилированными Лицами, на тот момент в совокупности владеющих не менее чем__процентами (__%) от общей Доли Участия.
(C) All decisions, approvals and other actions (C) for which column (C) below is checked shall require the affirmative vote of ( ) or more Parties which are not Affiliates then having collectively at least percent ( %) of the Participating Interests.	(С) Все решения, одобрения и иные действия, отмеченные в колонке (С) ниже, утверждаются положительным голосованием __ (__) или большего количества Сторон, не являющихся Аффилированными Лицами, на тот момент в совокупности владеющих не менее чем__процентами (__%) от общей Доли Участия.
Matter	Вопрос
(1) Minimum Work Programs.	(1) Минимальные Программы Работ.
(2) Drilling, Deepening, Testing, Sidetracking, Plugging Back, Recompleting or Reworking Exploration Wells.	(2) Бурение, Углубление, Тестирование, Забуривание Нового Ствола из Существующей Скважины, Тампонаж, Повторное Заканчивание или Повторная Разработка Разведочных Скважин.
(3) Drilling, Deepening, Testing, Sidetracking, Plugging Back, Recompleting or Reworking Appraisal Wells.	(3) Бурение, Углубление, Тестирование, Забуривание Нового Ствола из Существующей Скважины, Тампонаж, Повторное Заканчивание или Повторная Разработка Оценочных Скважин.
[NOTE: This list may be split in order to allow different levels of approval]	[ПРИМЕЧАНИЕ: Данный список можно разбить для отражения различных уровней одобрения]
(4) Development Plans.	(4) Планы Разработки.
(5) Production programs.	(5) Производственные программы.
(6) Completion of a well.	(6) Заканчивание скважины.
(7) Plugging and abandoning a well.	(7) Тампонаж и ликвидация скважины.
(8) Acquisition of G & G Data.	(8) Приобретение Геоинформации.
(9) Construction of processing, treatment, compression, gathering, transportation and other downstream facilities.	(9) Строительство сооружений по переработке, очистке, компрессии, сбору, транспортировке и прочих объектов, связанных с транспортировкой и переработкой нефти и газа.
(10) Contract awards (if approval is required).	(10) Распределение подрядов (в случае необходимости одобрения).
(11) Determination that a Discovery is a Commercial Discovery.	(11) Определение того факта, что какое-либо Открытие является Коммерческим Открытием.
(12) Unitization under the terms of the Contract with an adjoining contract area.	(12) Распределение прав на запасы с прилегающей контрактной территорией, производимое в соответствии с Контрактом.
(13) Establishment of an interest bearing account for Joint Account monies.	(13) Открытие процентного банковского счета для размещения денежных средств, учитываемых на Совместном Счете Бухгалтерского Учета
(14) Acquisition and development of Venture Information under terms other than as specified in Article 15.	(14) Приобретение и разработка Рабочей Информации на иных условиях, нежели указанные в статье 15.
(16) All other matters within the Operating Committee's authority.	(16) Прочие вопросы в пределах компетенции Руководящего Комитета.
5.10 Record of Votes	5.10 Подсчет голосов
The chairman of the Operating Committee shall appoint a secretary who shall make a record of each proposal voted on and the results of such voting at each Operating Committee meeting.	Председатель Руководящего Комитета назначает секретаря, который ведет учет голосов по каждому предложению и подсчитывает результаты голосования на каждом заседании Руководящего Комитета.
Each representative shall sign and be provided a copy of such record at the end of such meeting, and it shall be considered the final record of the decisions of the Operating Committee.	Каждый представитель подписывает и в конце заседания получает копию протокола голосования, и такой протокол голосования считается окончательной записью решений Руководящего Комитета.
5.11 Minutes	5.11 Протоколы заседаний
The secretary shall provide each Party with a copy of the minutes of the Operating Committee meeting within fifteen (15) Business Days after the end of the meeting.	Секретарь предоставляет каждой Стороне копию протоколов заседаний Руководящего Комитета в течение 15 (пятнадцати) Рабочих Дней после окончания заседания.
Each Party shall have fifteen (15) Days after receipt of such minutes to give notice to the secretary of its objections to the minutes.	После получения такого протокола каждая Сторона располагает 15 (пятнадцатью) Днями для того, чтобы направить секретарю уведомление со своими возражениями по протоколу.
A failure to give notice specifying objection to such minutes within said fifteen (15) Day period shall be deemed to be approval of such minutes.	Ненаправление уведомления с возражениями по такому протоколу в течение указанных 15 (пятнадцати) Дней считается одобрением такого протокола.
In any event, the votes recorded under Article 5.10 shall take precedence over the minutes described above.	В любом случае голоса, учтенные в соответствии со статьей 5.10, имеют преимущественную силу по сравнению с вышеописанным протоколом заседания.
5.12 Voting by Notice	5.12 Заочное голосование
(A) In lieu of a meeting, any Party may submit any proposal to the Operating Committee for a vote by notice.	(А) Вместо созыва заседания любая Сторона может внести в Руководящий Комитет любое предложение о заочном голосовании.
The proposing Party or Parties shall notify Operator who shall give each Party's representative notice describing the proposal so submitted and whether Operator considers such operational matter to require urgent determination.	Выдвинувшая предложение Сторона или Стороны уведомляют Оператора, который должен направить представителям каждой Стороны уведомление с описанием выдвинутого предложения и с указанием, считает ли Оператор такой рабочий вопрос требующим немедленного рассмотрения.
